PROPERTY_ID,ADDRESS,PROPERTY_TYPE,LOT_SIZE,LATITUDE,LONGITUDE,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,YEAR_BUILT,BUILDING_AGE,NEIGHBORHOOD,USE_CODE,TAX_STATUS,CONDO_FLAG,SIZE_CATEGORY,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,GENERAL_USE_CATEGORY,NEIGHBORHOOD_DENSITY
172-73,1580 Massachusetts Ave,>8-UNIT-APT,20080.0,42.37931047815378,-71.1206873031822,,,,,,,9.0,112,,True,Large,660.9539974322066,0.3431237049244711,Multi-Family,42
171-1,1500 Massachusetts Ave,Parklands,370784.0,42.37727047201469,-71.12261945850281,,,,,,,9.0,920,City NonTax,False,Large,572.1922920728305,0.4313378021045597,Other,42
119-92,844 Massachusetts Ave,Religious,8137.0,42.36705068284543,-71.10701314273571,,,,,,,7.0,960,Religious NonTax,False,Medium,497.22260575697277,0.5058449689897805,Other,51
117-64,881 Massachusetts Ave,>8-UNIT-APT,10000.0,42.36810359763383,-71.10773310739408,,,,,,,6.0,112,,False,Medium,629.2196279285381,0.3746622917960419,Multi-Family,34
116-94,983R Massachusetts Ave,RETAIL-STORE,5000.0,42.36940118418878,-71.11073590381166,,,,,,,6.0,325,,False,Small,985.9085924644685,0.02017389104660748,Commercial,34
105-81,706 Massachusetts Ave,RETAIL-OFFIC,13267.0,42.365667756499725,-71.10476081415729,,,,,,,7.0,345,,False,Large,203.85032823643422,0.7974073099155227,Commercial,51
199-90,2106 Massachusetts Ave,RETAIL-STORE,5969.0,42.391469108764525,-71.12389657105066,,,,,,,11.0,325,,False,Medium,641.4593545356478,0.36249807719464633,Commercial,28
177-34,1868 Massachusetts Ave,HOTEL,13370.0,42.38788739362033,-71.11965214140947,,,,,,,9.0,300,,False,Large,92.07339390246833,0.9084946454720751,Other,42
153-88,1791 Massachusetts Ave,>8-UNIT-APT,21779.0,42.38619315760366,-71.11855947427487,,,,,,,8.0,112,,False,Large,249.79233123984142,0.7517487423927168,Multi-Family,24
175-84,1712 Massachusetts Ave,EATING-ESTBL,6750.0,42.383546697912,-71.11984855510966,,,,,,,9.0,326,,False,Medium,546.8886409338153,0.4564853444095517,Other,42
70-91,323 Massachusetts Ave,RETAIL-STORE,6272.0,42.36259234626355,-71.0986073233111,,,,,,,4.0,325,,False,Medium,560.9057843198016,0.4425546786586822,Commercial,23
70-51,233 Massachusetts Ave,Higher Ed and Comm Mixed,7360.0,42.36177101104604,-71.09720349156746,,,,,,,4.0,942,,False,Medium,740.7708700222719,0.26379925608965593,Other,23
181-52,2039 Massachusetts Ave,Government Operations,9532.0,42.3909894646649,-71.12195064577321,,,,,,,11.0,930,City NonTax,False,Medium,435.76001247028665,0.5669283737664245,Other,28
178-79,1920 Massachusetts Ave,EATING-ESTBL,3409.0,42.38900309850975,-71.12000427700151,,,,,,,11.0,326,,False,Small,130.03118715719913,0.870771029760124,Other,28
160-14,1336-1362 Massachusetts Ave,RETAIL-OFFIC,75894.0,42.37259023404723,-71.11867455988259,,,,,,,7.0,345,Educ NonTax,False,Large,117.76145577875141,0.8829650640208418,Commercial,51
121-6,1010 Massachusetts Ave,>8-UNIT-APT,27200.0,42.36909682384198,-71.11192132024325,,,,,,,7.0,112,,False,Large,931.2516493636209,0.07449363254710618,Multi-Family,51
176-13,1800-2 Massachusetts Ave,>8-UNIT-APT,30067.0,42.38637072873971,-71.11961351992743,,,,,,,9.0,112,,True,Large,235.31865305208595,0.7661331263907325,Multi-Family,42
174-37,1664-1668 Massachusetts Ave,RETAIL-STORE,6918.0,42.3819141512643,-71.12010863457358,,,,,,,9.0,325,,False,Medium,730.3707592769514,0.27413520419088827,Commercial,42
90-125,571 Massachusetts Ave,EATING-ESTBL,1882.0,42.36494794385452,-71.10232447131749,,,,,,,4.0,326,,False,Small,101.00552506987319,0.8996176203671996,Other,23
121-2,1050 Massachusetts Ave,RETAIL-OFFIC,20384.0,42.3697226526562,-71.11302424523073,,,,,,,7.0,345,,False,Large,790.702385797732,0.21417578877194193,Commercial,51
134-33,1045 Massachusetts Ave,RETAIL-STORE,10501.0,42.37021094019479,-71.11259523715741,,,,,,,6.0,325,,False,Medium,804.3228308398354,0.2006393739665311,Commercial,34
117-28,901 Massachusetts Ave,4-8-UNIT-APT,3120.0,42.36841458496796,-71.10831616552008,,,,,,,6.0,111,,False,Small,701.7912223757303,0.30253842194519803,Multi-Family,34
119-5,892 Massachusetts Ave,PARKING-LOT,5520.0,42.36783687042136,-71.10831459342054,,,,,,,7.0,337,,False,Small,665.9909524937246,0.3381178249507876,Other,51
117-56,859 Massachusetts Ave,GEN-OFFICE,5049.0,42.36767009275619,-71.1068997048038,,,,,,,6.0,340,,False,Small,526.6276426193749,0.4766213441296929,Commercial,34
153-14,1771 Massachusetts Ave,MULTIUSE-COM,5320.0,42.3854699519317,-71.11890244376127,,,,,,,8.0,31,,True,Small,325.4155576717661,0.6765920673544428,Other,24
176-64,1764 Massachusetts Ave,RETAIL-CONDO,7467.0,42.385337800140086,-71.11963228793846,,,,,,,9.0,327,,False,Medium,347.0744055848893,0.6550668419559295,Commercial,42
181-80,2041-2059 Massachusetts Ave,GAS-STATION,16977.0,42.39132772782364,-71.12224201767427,,,,,,,11.0,334,,False,Large,484.88414492821994,0.5181073086800053,Other,28
154-101,1725 Massachusetts Ave,GAS-STATION,12008.0,42.384047018500446,-71.11909205591189,,,,,,,8.0,334,,False,Medium,483.28898058078676,0.5196926317897061,Other,24
68-50,220 Massachusetts Ave,INV-OFFICE,8709.0,42.361138706666274,-71.09699432589883,,,,,,,5.0,346,,False,Medium,794.1986103669751,0.21070113387807837,Commercial,25
90-52,605 Massachusetts Ave,RETAIL-OFFIC,917.0,42.36519966737505,-71.10290846128123,,,,,,,4.0,345,,False,Small,64.21350577870645,0.9361826542639918,Commercial,23
172-102,1560 Massachusetts Ave,SNGL-FAM-RES,1411.0,42.37862460223847,-71.12064135068083,,,,,,,9.0,101,,False,Small,586.7340695020312,0.4168857389978742,Residential,42
91-191,465 Massachusetts Ave,EATING-ESTBL,3528.0,42.36402135066279,-71.10084327014509,,,,,,,4.0,326,,False,Small,272.22714430006516,0.7294523391014673,Other,23
134-7,1131 Massachusetts Ave,HOTEL,6384.0,42.37107507971725,-71.11373595483686,,,,,,,6.0,300,,False,Medium,648.0479445326079,0.35595013497205813,Other,34
174-62,1686 Massachusetts Ave,MULTIUSE-RES,2410.0,42.38265629271021,-71.12004162582299,,,,,,,9.0,13,,False,Small,647.9506301254594,0.3560468490058237,Other,42
119-8,872 Massachusetts Ave,MXD >8-UNIT-APT,23203.0,42.367381163199745,-71.10791158005007,,,,,,,7.0,112,,False,Large,601.7349075302387,0.4019774474295071,Multi-Family,51
69-161,266 Massachusetts Ave,GAS-STATION,5958.0,42.36169477014823,-71.0980431478777,,,,,,,5.0,334,,False,Medium,662.5178016445869,0.34156954847600013,Other,25
133-52,1234-1238 Massachusetts Ave,EATING-ESTBL,2186.0,42.372336435119365,-71.11606345389743,,,,,,,7.0,326,,False,Small,354.85120584719505,0.6473380200353542,Other,51
120-74,930 Massachusetts Ave,GEN-OFFICE,3070.0,42.3683915163456,-71.10936797084216,,,,,,,7.0,340,,False,Small,797.897442249679,0.2070251216402267,Commercial,51
69-148,294-310 Massachusetts Ave,HIGH-TECH,50447.0,42.36213040075882,-71.0989202538591,,,,,,,5.0,406,Educ NonTax,False,Large,554.1009186867593,0.4493175622222665,Other,25
133-27,1132 Massachusetts Ave,RETAIL-OFFIC,1510.0,42.37078957903567,-71.1141971556144,,,,,,,7.0,345,,False,Small,617.6806437864298,0.38613008710653296,Commercial,51
118-1,847 Massachusetts Ave,GEN-OFFICE,4839.0,42.36756774323631,-71.1066746204123,,,,,,,6.0,340,,False,Small,500.0785703622589,0.503006624027687,Commercial,34
119-101,900 Massachusetts Ave,>8-UNIT-APT,4257.0,42.367963627231305,-71.1086474345151,,,,,,,7.0,112,,False,Small,704.8788900096432,0.2994698034276175,Multi-Family,51
